id,Tip restavracije
540,Food Trucks
541,Mexican
542,Mexican
542,Latin American
543,Greek
543,Mediterranean
544,American (New)
544,Lounges
545,Thai
546,Steakhouses
546,Burgers
546,American (Traditional)
547,Mexican
547,Bars
548,Bars
548,American (Traditional)
549,Wineries
549,Creperies
549,Gluten-Free
550,Breweries
550,American (Traditional)
551,Pizza
552,Barbeque
552,Southern
552,American (Traditional)
553,Southern
553,Venues & Event Spaces
553,Comfort Food
554,Barbeque
555,Bars
555,American (New)
556,Southern
556,Breakfast & Brunch
557,Asian Fusion
557,Southern
557,Comfort Food
558,Southern
559,Burgers
559,American (Traditional)
559,Bars
560,Gastropubs
560,Cocktail Bars
561,American (New)
561,Seafood
562,Barbeque
562,Desserts
562,Korean
563,Seafood
564,American (New)
564,Chicken Wings
564,Burgers
565,Ethiopian
565,Desserts
565,Sandwiches
566,Southern
566,Breakfast & Brunch
566,Sandwiches
567,American (Traditional)
567,Breakfast & Brunch
567,Desserts
568,Modern European
568,Cocktail Bars
568,Italian
569,Spanish
569,Tapas/Small Plates
569,Tapas Bars
570,Southern
571,Breakfast & Brunch
571,American (New)
572,Mexican
572,Korean
572,Asian Fusion
573,Southern
573,Venues & Event Spaces
574,Mexican
574,Tapas Bars
575,Cuban
575,Caribbean
576,American (New)
576,Vegetarian
576,Bars
577,Persian/Iranian
578,Breakfast & Brunch
578,Sandwiches
579,Latin American
579,Mexican
579,Bars
580,American (Traditional)
580,Breakfast & Brunch
581,Mediterranean
581,Juice Bars & Smoothies
581,Middle Eastern
582,Southern
582,Cocktail Bars
582,Coffee & Tea
583,Tex-Mex
584,Delis
584,Breakfast & Brunch
584,American (Traditional)
585,Seafood
585,Fish & Chips
585,Pubs
586,American (New)
586,Southern
587,Steakhouses
588,Steakhouses
588,Seafood
589,American (New)
590,Pubs
590,Sandwiches
590,Sports Bars
591,Tapas Bars
591,Spanish
592,American (New)
593,Gastropubs
593,Pubs
593,Breweries
594,American (New)
595,Vegan
595,Vegetarian
595,American (New)
596,American (New)
597,Breakfast & Brunch
597,American (Traditional)
597,Bars
598,American (New)
598,Southern
599,American (Traditional)
599,Bars
599,Breweries
600,American (New)
601,Burgers
601,American (Traditional)
602,Barbeque
602,Salad
602,Sandwiches
603,Pizza
603,Sandwiches
604,Southern
604,Breakfast & Brunch
604,Venues & Event Spaces
605,Breakfast & Brunch
605,American (New)
605,Burgers
606,Ramen
607,American (Traditional)
607,Gastropubs
608,Vegetarian
608,Cafes
608,Vegan
609,Pubs
609,Beer Gardens
609,Breakfast & Brunch
610,Sushi Bars
610,Gluten-Free
610,Japanese
611,Barbeque
611,Breakfast & Brunch
612,Thai
613,Asian Fusion
613,Vegetarian
613,Gluten-Free
614,German
614,Bakeries
614,Beer Gardens
615,Seafood
615,Breakfast & Brunch
616,American (New)
617,Breakfast & Brunch
617,French
617,Salad
618,Tex-Mex
618,Mexican
619,Thai
619,Asian Fusion
620,Southern
620,Chicken Shop
621,American (Traditional)
622,American (New)
623,Vietnamese
623,Thai
623,Chinese
624,Lounges
624,French
624,Cocktail Bars
625,Italian
625,Pizza
626,French
626,Bars
627,American (Traditional)
627,Bars
628,Cajun/Creole
628,Food Stands
628,Seafood
629,Seafood
629,American (New)
630,Ramen
631,American (New)
632,Seafood
632,Steakhouses
632,Lounges
633,American (New)
633,Bars
634,Dive Bars
634,Burgers
634,Pizza
635,American (New)
635,Gastropubs
635,Tapas Bars
636,American (Traditional)
637,American (New)
637,Vegetarian
637,Wine Bars
638,Breweries
638,Gastropubs
639,Bars
639,American (Traditional)
639,Chicken Wings
640,Southern
640,Food Trucks
640,Sandwiches
641,Ramen
641,Korean
642,Mexican
643,Sushi Bars
643,Ramen
644,Italian
644,Pizza
645,Cajun/Creole
646,Mexican
647,American (New)
648,Modern European
648,French
648,German
649,Mexican
650,Italian
651,Desserts
651,Salad
651,Gluten-Free
652,Breakfast & Brunch
652,American (Traditional)
652,Cafes
653,Seafood
653,Live/Raw Food
653,Sandwiches
654,Breakfast & Brunch
654,American (Traditional)
655,Breweries
655,Modern European
655,Belgian
656,Southern
656,Barbeque
656,Sandwiches
657,Seafood
658,Seafood
659,Bars
659,Seafood
660,Seafood
660,Steakhouses
660,Sushi Bars
661,Seafood
662,Sports Bars
662,American (Traditional)
662,Burgers
663,American (New)
664,Seafood
665,Brazilian
665,Steakhouses
665,Seafood
666,American (New)
666,Beer Bar
666,Gastropubs
667,Coffee & Tea
667,Breakfast & Brunch
668,Afghan
668,Vegetarian
668,Middle Eastern
669,Diners
670,American (New)
670,Breakfast & Brunch
670,Bars
671,Gastropubs
671,Pubs
671,American (Traditional)
672,American (New)
672,Sushi Bars
673,Seafood
674,Pubs
674,American (Traditional)
674,Breweries
675,Coffee & Tea
675,Cafes
675,American (New)
676,Greek
676,Sandwiches
677,Turkish
677,Mediterranean
678,Pubs
678,American (New)
679,Italian
679,Pizza
679,Sandwiches
680,American (New)
680,Brasseries
680,Cocktail Bars
681,Italian
682,Italian
682,Pizza
683,American (New)
683,Breakfast & Brunch
683,Bars
684,American (Traditional)
684,Breakfast & Brunch
685,Italian
685,Pizza
685,"Beer, Wine & Spirits"
686,Thai
687,Gastropubs
687,American (New)
688,American (New)
688,Wine Bars
689,Mexican
689,Breakfast & Brunch
690,Steakhouses
